"Time (s) Run #7","Voltage, Ch A (V) Run #7","Current, Ch D (A) Run #7","Charge (C) Run #7"
0.016,,,2.39E-6
0.016,1.038,-2.742E-4,
0.016,,,2.20E-6
0.017,1.039,-4.768E-4,
0.017,,,1.98E-6
0.017,1.039,-3.804E-4,
0.017,,,1.84E-6
0.018,1.039,-2.144E-4,
0.018,,,1.76E-6
0.018,1.039,-8.254E-5,
0.018,,,1.69E-6
0.019,1.040,-1.887E-4,
0.019,,,1.49E-6
0.019,1.039,-6.099E-4,
0.019,,,1.32E-6
0.020,1.041,-1.033E-4,
0.020,,,1.20E-6
0.020,1.039,-3.767E-4,
0.020,,,1.16E-6
0.021,1.041,2.348E-4,
0.021,,,1.26E-6
0.021,1.039,1.799E-4,
0.021,,,1.32E-6
0.022,1.039,4.319E-5,
0.022,,,1.30E-6
0.022,1.038,-1.350E-4,
0.022,,,1.27E-6
0.022,1.039,4.929E-5,
0.023,,,1.36E-6
0.023,1.039,3.105E-4,
0.023,,,1.51E-6
0.023,1.040,2.507E-4,
0.024,,,1.63E-6
0.024,1.039,2.483E-4,
0.024,,,1.76E-6
0.025,1.039,2.580E-4,
0.025,,,1.97E-6
0.025,1.038,5.925E-4,
0.025,,,2.22E-6
0.026,1.039,4.143E-4,
0.026,,,2.42E-6
0.026,1.038,3.789E-4,
0.026,,,2.63E-6
0.027,1.039,4.814E-4,
0.027,,,2.85E-6
0.027,1.039,3.740E-4,
0.027,,,3.06E-6
0.028,1.039,4.863E-4,
0.028,,,3.27E-6
0.028,1.038,3.288E-4,
0.028,,,3.39E-6
0.029,1.038,1.604E-4,
0.029,,,3.53E-6
0.029,1.038,4.070E-4,
0.029,,,3.79E-6
0.030,1.039,6.169E-4,
0.030,,,3.93E-6
0.030,1.039,-3.494E-5,
0.030,,,4.08E-6
0.031,1.040,6.072E-4,
0.031,,,4.20E-6
0.031,1.039,-1.021E-4,
0.031,,,4.12E-6
0.032,1.038,-2.290E-4,
0.032,,,4.12E-6
0.032,1.039,2.275E-4,
0.032,,,4.23E-6
0.033,1.040,2.336E-4,
0.033,,,4.22E-6
0.033,1.038,-2.742E-4,
0.033,,,4.07E-6
0.034,1.039,-3.377E-4,
0.034,,,3.92E-6
0.034,1.039,-2.522E-4,
0.034,,,3.80E-6
0.035,1.039,-2.437E-4,
0.035,,,3.68E-6
0.035,1.038,-2.193E-4,
0.035,,,3.55E-6
0.036,1.038,-3.096E-4,
0.036,,,3.42E-6
0.036,1.039,-2.180E-4,
0.036,,,3.31E-6
0.036,1.040,-2.327E-4,
0.037,,,3.26E-6
0.037,1.039,5.417E-5,
0.037,,,3.34E-6
0.037,1.039,2.654E-4,
0.038,,,3.44E-6
0.038,1.040,1.421E-4,
0.038,,,3.45E-6
0.039,1.039,-1.082E-4,
0.039,,,3.42E-6
0.039,1.039,-1.541E-5,
0.039,,,3.46E-6
0.040,1.041,1.592E-4,
0.040,,,3.58E-6
0.040,1.038,3.386E-4,
0.040,,,3.86E-6
0.041,1.041,7.622E-4,
0.041,,,4.15E-6
0.041,1.039,4.033E-4,
0.041,,,4.35E-6
0.042,1.039,4.045E-4,
0.042,,,4.56E-6
0.042,1.039,4.326E-4,
0.042,,,4.72E-6
0.043,1.038,1.909E-4,
0.043,,,4.84E-6
0.043,1.039,2.885E-4,
0.043,,,5.00E-6
0.044,1.040,3.777E-4,
0.044,,,5.19E-6
0.044,1.037,3.752E-4,
0.044,,,5.41E-6
0.045,1.038,4.863E-4,
0.045,,,5.56E-6
0.045,1.038,1.445E-4,
0.045,,,5.73E-6
0.045,1.039,5.351E-4,
0.046,,,5.99E-6
0.046,1.040,4.961E-4,
0.046,,,6.19E-6
0.047,1.038,3.105E-4,
0.047,,,6.35E-6
0.047,1.039,3.203E-4,
0.047,,,6.52E-6
0.047,1.040,3.581E-4,
0.048,,,6.48E-6
0.048,1.038,-5.366E-4,
0.048,,,6.33E-6
0.049,1.038,-4.470E-5,
0.049,,,6.22E-6
0.049,1.038,-4.036E-4,
0.049,,,6.06E-6
0.050,1.039,-2.119E-4,
0.050,,,5.82E-6
0.050,1.038,-7.613E-4,
0.050,,,5.61E-6
0.051,1.039,-9.597E-5,
0.051,,,5.54E-6
0.051,1.038,-1.839E-4,
0.051,,,5.47E-6
0.052,1.040,-9.475E-5,
0.052,,,5.36E-6
0.052,1.039,-3.328E-4,
0.052,,,5.23E-6
0.052,1.040,-1.851E-4,
0.053,,,5.11E-6
0.053,1.040,-2.766E-4,
0.053,,,5.04E-6
0.054,1.040,-4.104E-5,
0.054,,,5.05E-6
0.054,1.040,1.177E-4,
0.054,,,5.09E-6
0.055,1.039,2.854E-5,
0.055,,,5.04E-6
0.055,1.038,-2.266E-4,
0.055,,,4.98E-6
0.056,1.039,-8.081E-6,
0.056,,,5.05E-6
0.056,1.038,2.727E-4,
0.056,,,5.13E-6
0.057,1.040,3.708E-5,
0.057,,,5.24E-6
0.057,1.039,4.265E-4,
0.057,,,5.47E-6
0.058,1.040,4.680E-4,
0.058,,,5.68E-6
0.058,1.040,4.045E-4,
0.058,,,5.88E-6
0.059,1.039,3.630E-4,
0.059,,,6.14E-6
0.059,1.039,7.073E-4,
0.059,,,6.40E-6
0.060,1.040,3.215E-4,
0.060,,,6.56E-6
0.060,1.040,2.995E-4,
0.060,,,6.76E-6
0.060,1.039,5.083E-4,
0.061,,,6.96E-6
0.061,1.038,3.044E-4,
0.061,,,7.14E-6
0.062,1.037,4.289E-4,
0.062,,,7.26E-6
0.062,1.039,1.877E-5,
0.062,,,7.35E-6
0.062,1.038,3.484E-4,
0.063,,,7.47E-6
0.063,1.040,1.543E-4,
0.063,,,7.56E-6
0.064,1.040,2.043E-4,
0.064,,,7.67E-6
0.064,1.040,2.312E-4,
0.064,,,7.73E-6
0.065,1.039,6.567E-6,
0.065,,,7.67E-6
0.065,1.040,-2.522E-4,
0.065,,,7.45E-6
0.066,1.038,-6.123E-4,
0.066,,,7.23E-6
0.066,1.040,-2.693E-4,
0.066,,,7.13E-6
0.067,1.039,-1.350E-4,
0.067,,,7.00E-6
0.067,1.039,-4.097E-4,
0.067,,,6.82E-6
0.068,1.039,-2.791E-4,
0.068,,,6.68E-6
0.068,1.038,-3.120E-4,
0.068,,,6.57E-6
0.069,1.039,-1.265E-4,
0.069,,,6.47E-6
0.069,1.041,-2.730E-4,
0.069,,,6.33E-6
0.070,1.040,-2.888E-4,
0.070,,,6.19E-6
0.070,1.040,-2.486E-4,
0.070,,,6.09E-6
0.071,1.040,-1.448E-4,
0.071,,,6.02E-6
0.071,1.039,-1.680E-4,
0.071,,,5.93E-6
0.072,1.040,-1.924E-4,
0.072,,,5.98E-6
0.072,1.040,4.167E-4,
0.072,,,6.09E-6
0.072,1.039,2.488E-5,
0.073,,,6.10E-6
0.073,1.039,2.122E-5,
0.073,,,6.27E-6
0.073,1.041,6.596E-4,
0.074,,,6.41E-6
0.074,1.040,-1.155E-4,
0.074,,,6.39E-6
0.075,1.039,2.366E-5,
0.075,,,6.41E-6
0.075,1.039,5.906E-5,
0.075,,,6.51E-6
0.075,1.038,3.484E-4,
0.076,,,6.71E-6
0.076,1.040,4.460E-4,
0.076,,,6.93E-6
0.077,1.040,4.424E-4,
0.077,,,7.15E-6
0.077,1.038,4.167E-4,
0.077,,,7.37E-6
0.077,1.039,4.643E-4,
0.078,,,7.55E-6
0.078,1.037,2.751E-4,
0.078,,,7.74E-6
0.079,1.039,4.875E-4,
0.079,,,7.96E-6
0.079,1.038,3.813E-4,
0.079,,,8.09E-6
0.080,1.039,1.604E-4,
0.080,,,8.23E-6
0.080,1.040,4.045E-4,
0.080,,,8.39E-6
0.080,1.040,2.348E-4,
0.081,,,8.45E-6
0.081,1.039,-1.052E-5,
0.081,,,8.52E-6
0.082,1.040,2.861E-4,
0.082,,,8.56E-6
0.082,1.039,-1.118E-4,
0.082,,,8.58E-6
0.083,1.039,1.811E-4,
0.083,,,8.63E-6
0.083,1.039,2.976E-5,
0.083,,,8.64E-6
0.084,1.039,1.633E-5,
0.084,,,8.61E-6
0.084,1.039,-1.363E-4,
0.084,,,8.52E-6
0.085,1.040,-2.241E-4,
0.085,,,8.40E-6
0.085,1.040,-2.779E-4,
0.085,,,8.28E-6
0.086,1.040,-1.863E-4,
0.086,,,8.18E-6
0.086,1.040,-2.083E-4,
0.086,,,8.08E-6
0.087,1.040,-1.948E-4,
0.087,,,8.01E-6
0.087,1.039,-9.231E-5,
0.087,,,7.90E-6
0.088,1.039,-3.670E-4,
0.088,,,7.86E-6
0.088,1.040,2.092E-4,
0.088,,,7.88E-6
0.089,1.040,-1.192E-4,
0.089,,,7.78E-6
0.089,1.039,-2.852E-4,
0.089,,,7.81E-6
0.090,1.039,4.265E-4,
0.090,,,7.98E-6
0.090,1.040,2.385E-4,
0.090,,,8.03E-6
0.090,1.039,-2.517E-5,
0.091,,,8.26E-6
0.091,1.041,9.135E-4,
0.091,,,8.58E-6
0.091,1.040,3.996E-4,
0.092,,,8.82E-6
0.092,1.039,5.339E-4,
0.092,,,8.99E-6
0.093,1.039,1.604E-4,
0.093,,,9.12E-6
0.093,1.039,3.508E-4,
0.093,,,9.31E-6
0.094,1.040,4.057E-4,
0.094,,,9.51E-6
0.094,1.039,3.996E-4,
0.094,,,9.75E-6
0.095,1.039,5.522E-4,
0.095,,,9.91E-6
0.095,1.038,9.568E-5,
0.095,,,1.01E-5
0.095,1.040,5.095E-4,
0.096,,,1.03E-5
0.096,1.039,4.497E-4,
0.096,,,1.05E-5
0.097,1.039,4.021E-4,
0.097,,,1.07E-5
0.097,1.039,2.104E-4,
0.097,,,1.07E-5
0.098,1.040,9.446E-5,
0.098,,,1.08E-5
0.098,1.040,1.836E-4,
0.098,,,1.07E-5
0.099,1.039,-4.353E-4,
0.099,,,1.07E-5
0.099,1.040,5.295E-5,
0.099,,,1.05E-5
0.100,1.038,-4.927E-4,
0.100,,,1.03E-5
0.100,1.040,-3.426E-4,
0.100,,,1.02E-5
0.101,1.039,-2.718E-4,
0.101,,,1.01E-5
0.101,1.039,-1.541E-5,
0.101,,,1.00E-5
0.102,1.040,-3.450E-4,
0.102,,,9.87E-6
0.102,1.040,-2.693E-4,
0.102,,,9.72E-6
0.103,1.039,-2.949E-4,
0.103,,,9.59E-6
0.103,1.038,-2.498E-4,
0.103,,,9.50E-6
0.104,1.040,-1.228E-4,
0.104,,,9.50E-6
0.104,1.039,1.567E-4,
0.104,,,9.54E-6
0.105,1.040,-7.568E-7,
0.105,,,9.55E-6
0.105,1.041,4.197E-5,
0.105,,,9.57E-6
0.106,1.038,2.244E-5,
0.106,,,9.54E-6
0.106,1.039,-1.277E-4,
0.106,,,9.50E-6
0.107,1.039,-3.982E-5,
0.107,,,9.56E-6
0.107,1.039,2.568E-4,
0.107,,,9.65E-6
0.108,1.040,1.115E-4,
0.108,,,9.70E-6
0.108,1.039,1.079E-4,
0.108,,,9.88E-6
0.109,1.040,5.827E-4,
0.109,,,1.01E-5
0.109,1.039,4.436E-4,
0.109,,,1.03E-5
0.110,1.039,3.777E-4,
0.110,,,1.05E-5
0.110,1.039,3.569E-4,
0.110,,,1.07E-5
0.111,1.039,4.057E-4,
0.111,,,1.09E-5
0.111,1.038,4.143E-4,
0.111,,,1.11E-5
0.112,1.039,4.143E-4,
0.112,,,1.13E-5
0.112,1.039,1.286E-4,
0.112,,,1.14E-5
0.113,1.040,4.802E-4,
0.113,,,1.15E-5
0.113,1.038,-9.841E-5,
0.113,,,1.15E-5
0.114,1.038,-2.639E-5,
0.114,,,1.15E-5
0.114,1.040,2.373E-4,
0.114,,,1.16E-5
0.115,1.039,1.421E-4,
0.115,,,1.17E-5
0.115,1.040,2.702E-4,
0.115,,,1.18E-5
0.116,1.040,-1.033E-4,
0.116,,,1.17E-5
0.116,1.040,-2.827E-4,
0.116,,,1.16E-5
0.117,1.040,2.976E-5,
0.117,,,1.15E-5
0.117,1.039,-4.073E-4,
0.117,,,1.13E-5
0.118,1.039,-2.583E-4,
0.118,,,1.12E-5
0.118,1.039,-2.327E-4,
0.118,,,1.11E-5
0.119,1.040,-1.778E-4,
0.119,,,1.10E-5
0.119,1.041,-3.255E-4,
0.119,,,1.09E-5
0.120,1.039,-2.315E-4,
0.120,,,1.07E-5
0.120,1.040,-3.291E-4,
0.120,,,1.06E-5
0.120,1.040,-1.021E-4,
0.121,,,1.06E-5
0.121,1.039,-8.376E-5,
0.121,,,1.05E-5
0.121,1.041,5.347E-6,
0.122,,,1.06E-5
0.122,1.040,1.311E-4,
0.122,,,1.06E-5
0.122,1.041,-9.353E-5,
0.123,,,1.06E-5
0.123,1.038,-7.568E-7,
0.123,,,1.06E-5
0.123,1.040,2.593E-4,
0.124,,,1.08E-5
0.124,1.040,2.727E-4,
0.124,,,1.09E-5
0.125,1.040,2.458E-4,
0.125,,,1.11E-5
0.125,1.040,4.118E-4,
0.125,,,1.13E-5
0.126,1.040,4.643E-4,
0.126,,,1.15E-5
0.126,1.038,4.143E-4,
0.126,,,1.17E-5
0.127,1.040,5.071E-4,
0.127,,,1.20E-5
0.127,1.039,4.631E-4,
0.127,,,1.22E-5
0.128,1.039,4.521E-4,
0.128,,,1.24E-5
0.128,1.038,3.044E-4,
0.128,,,1.25E-5
0.129,1.038,1.885E-4,
0.129,,,1.25E-5
0.129,1.040,-1.070E-4,
0.129,,,1.26E-5
0.130,1.038,2.922E-4,
0.130,,,1.26E-5
0.130,1.038,-2.302E-4,
0.130,,,1.26E-5
0.131,1.039,3.142E-4,
0.131,,,1.27E-5
0.131,1.039,-3.372E-5,
0.131,,,1.27E-5
0.132,1.039,1.360E-4,
0.132,,,1.28E-5
0.132,1.039,2.922E-4,
0.132,,,1.27E-5
0.133,1.038,-5.940E-4,
0.133,,,1.26E-5
0.133,1.039,-6.912E-5,
0.133,,,1.24E-5
0.134,1.040,-5.025E-4,
0.134,,,1.23E-5
0.134,1.040,-1.118E-4,
0.134,,,1.22E-5
0.135,1.039,-8.254E-5,
0.135,,,1.22E-5
0.135,1.039,-1.497E-4,
0.135,,,1.20E-5
0.136,1.039,-4.195E-4,
0.136,,,1.19E-5
0.136,1.041,-2.168E-4,
0.136,,,1.17E-5
0.137,1.040,-2.766E-4,
0.137,,,1.16E-5
0.137,1.040,-2.156E-4,
0.137,,,1.15E-5
0.138,1.040,-2.473E-4,
0.138,,,1.14E-5
0.138,1.039,-1.387E-4,
0.138,,,1.14E-5
0.139,1.040,1.360E-4,
0.139,,,1.14E-5
0.139,1.039,-6.057E-5,
0.139,,,1.14E-5
0.140,1.038,-1.936E-4,
0.140,,,1.14E-5
0.140,1.040,3.215E-4,
0.140,,,1.15E-5
0.141,1.039,9.446E-5,
0.141,,,1.16E-5
0.141,1.040,4.900E-4,
0.141,,,1.18E-5
0.142,1.040,2.385E-4,
0.142,,,1.20E-5
0.142,1.040,4.277E-4,
0.142,,,1.22E-5
0.143,1.041,4.961E-4,
0.143,,,1.24E-5
0.143,1.039,3.154E-4,
0.143,,,1.26E-5
0.144,1.039,3.325E-4,
0.144,,,1.28E-5
0.144,1.040,5.449E-4,
0.144,,,1.30E-5
0.145,1.039,3.716E-4,
0.145,,,1.32E-5
0.145,1.040,4.424E-4,
0.145,,,1.34E-5
0.145,1.039,-5.640E-6,
0.146,,,1.34E-5
0.146,1.039,7.737E-5,
0.146,,,1.34E-5
0.146,1.040,9.446E-5,
0.147,,,1.35E-5
0.147,1.040,2.568E-4,
0.147,,,1.36E-5
0.147,1.040,2.976E-5,
0.148,,,1.37E-5
0.148,1.041,5.388E-4,
0.148,,,1.39E-5
0.149,1.040,6.567E-6,
0.149,,,1.38E-5
0.149,1.040,-2.010E-4,
0.149,,,1.37E-5
0.150,1.039,-9.719E-5,
0.150,,,1.37E-5
0.150,1.039,-1.558E-4,
0.150,,,1.36E-5
0.150,1.041,-2.705E-4,
0.151,,,1.34E-5
0.151,1.040,-2.766E-4,
0.151,,,1.33E-5
0.152,1.039,-2.425E-4,
0.152,,,1.32E-5
0.152,1.039,-1.900E-4,
0.152,,,1.31E-5
0.153,1.041,-2.351E-4,
0.153,,,1.30E-5
0.153,1.041,-1.436E-4,
0.153,,,1.29E-5
0.154,1.040,-1.936E-4,
0.154,,,1.28E-5
0.154,1.040,-8.254E-5,
0.154,,,1.27E-5
0.155,1.041,-2.901E-4,
0.155,,,1.27E-5
0.155,1.042,7.859E-5,
0.155,,,1.27E-5
0.156,1.040,1.701E-4,
0.156,,,1.28E-5
0.156,1.039,1.685E-6,
0.156,,,1.28E-5
0.157,1.040,8.713E-5,
0.157,,,1.28E-5
0.157,1.040,7.004E-5,
0.157,,,1.29E-5
0.158,1.039,1.921E-4,
0.158,,,1.31E-5
0.158,1.041,7.109E-4,
0.158,,,1.34E-5
0.159,1.041,3.349E-4,
0.159,,,1.36E-5
0.159,1.041,5.510E-4,
0.159,,,1.38E-5
0.160,1.040,3.130E-4,
0.160,,,1.40E-5
0.160,1.039,5.241E-4,
0.160,,,1.43E-5
0.161,1.040,5.534E-4,
0.161,,,1.46E-5
0.161,1.039,3.801E-4,
0.161,,,1.48E-5
0.162,1.039,5.693E-4,
0.162,,,1.49E-5
0.162,1.039,2.732E-5,
0.162,,,1.50E-5
0.163,1.039,1.579E-4,
0.163,,,1.50E-5
0.163,1.039,6.760E-5,
0.163,,,1.51E-5
0.164,1.039,1.823E-4,
0.164,,,1.52E-5
0.164,1.039,2.617E-4,
0.164,,,1.53E-5
0.165,1.040,1.372E-4,
0.165,,,1.54E-5
0.165,1.040,2.568E-4,
0.165,,,1.54E-5
0.166,1.040,-3.438E-4,
0.166,,,1.53E-5
0.166,1.040,-2.046E-4,
0.166,,,1.52E-5
0.167,1.038,-1.680E-4,
0.167,,,1.51E-5
0.167,1.039,-2.376E-4,
0.167,,,1.50E-5
0.168,1.039,-7.644E-5,
0.168,,,1.49E-5
0.168,1.039,-1.912E-4,
0.168,,,1.48E-5
0.169,1.039,-2.278E-4,
0.169,,,1.47E-5
0.169,1.041,-3.267E-4,
0.169,,,1.45E-5
0.170,1.040,-3.731E-4,
0.170,,,1.44E-5
0.170,1.040,-2.517E-5,
0.170,,,1.43E-5
0.171,1.039,-2.217E-4,
0.171,,,1.42E-5
0.171,1.039,-3.889E-4,
0.171,,,1.41E-5
0.172,1.040,4.685E-5,
0.172,,,1.41E-5
0.172,1.039,6.567E-6,
0.172,,,1.41E-5
0.173,1.039,-2.095E-4,
0.173,,,1.41E-5
0.173,1.039,3.532E-4,
0.173,,,1.42E-5
0.174,1.040,6.150E-5,
0.174,,,1.42E-5
0.174,1.040,8.103E-5,
0.174,,,1.44E-5
0.175,1.039,6.133E-4,
0.175,,,1.47E-5
0.175,1.041,5.425E-4,
0.175,,,1.49E-5
0.176,1.040,4.094E-4,
0.176,,,1.51E-5
0.176,1.040,1.994E-4,
0.176,,,1.52E-5
0.177,1.040,3.349E-4,
0.177,,,1.54E-5
0.177,1.040,5.046E-4,
0.177,,,1.56E-5
0.177,1.039,2.849E-4,
0.178,,,1.58E-5
0.178,1.039,4.973E-4,
0.178,,,1.61E-5
0.179,1.040,5.632E-4,
0.179,,,1.63E-5
0.179,1.039,2.495E-4,
0.179,,,1.64E-5
0.179,1.039,2.617E-4,
0.180,,,1.65E-5
0.180,1.039,1.469E-4,
0.180,,,1.66E-5
0.181,1.039,3.044E-4,
0.181,,,1.68E-5
0.181,1.040,1.665E-4,
0.181,,,1.68E-5
0.181,1.041,1.633E-5,
0.182,,,1.68E-5
0.182,1.039,-1.533E-4,
0.182,,,1.67E-5
0.183,1.040,2.905E-6,
0.183,,,1.67E-5
0.183,1.039,-1.753E-4,
0.183,,,1.66E-5
0.183,1.040,-1.521E-4,
0.184,,,1.65E-5
0.184,1.040,-1.424E-4,
0.184,,,1.65E-5
0.185,1.041,-4.836E-5,
0.185,,,1.64E-5
0.185,1.040,-2.180E-4,
0.185,,,1.63E-5
0.185,1.040,-3.084E-4,
0.186,,,1.62E-5
0.186,1.040,-1.936E-4,
0.186,,,1.60E-5
0.187,1.040,-3.133E-4,
0.187,,,1.59E-5
0.187,1.040,-2.029E-5,
0.187,,,1.59E-5
0.187,1.040,-4.419E-6,
0.188,,,1.60E-5
0.188,1.041,1.775E-4,
0.188,,,1.60E-5
0.189,1.040,-7.766E-5,
0.189,,,1.59E-5
0.189,1.038,-1.900E-4,
0.189,,,1.59E-5
0.190,1.039,1.982E-4,
0.190,,,1.61E-5
0.190,1.039,2.397E-4,
0.190,,,1.62E-5
0.191,1.041,2.727E-4,
0.191,,,1.64E-5
0.191,1.041,4.802E-4,
0.191,,,1.66E-5
0.191,1.040,3.691E-4,
0.192,,,1.68E-5
0.192,1.040,6.194E-4,
0.192,,,1.70E-5
0.193,1.040,2.300E-4,
0.193,,,1.72E-5
0.193,1.040,3.740E-4,
0.193,,,1.74E-5
0.193,1.040,2.727E-4,
0.194,,,1.75E-5
0.194,1.039,5.168E-4,
0.194,,,1.78E-5
0.195,1.038,4.375E-4,
0.195,,,1.80E-5
0.195,1.039,3.325E-4,
0.195,,,1.82E-5
0.195,1.040,3.740E-4,
0.196,,,1.83E-5
0.196,1.040,3.703E-4,
0.196,,,1.85E-5
0.197,1.041,2.629E-4,
0.197,,,1.86E-5
0.197,1.040,-3.860E-5,
0.197,,,1.86E-5
0.198,1.040,2.495E-4,
0.198,,,1.86E-5
0.198,1.039,-3.426E-4,
0.198,,,1.85E-5
0.199,1.038,-1.277E-4,
0.199,,,1.85E-5
0.199,1.040,3.362E-4,
0.199,,,1.85E-5
0.200,1.040,-2.486E-4,
0.200,,,1.84E-5
0.200,1.039,-2.241E-4,
0.200,,,1.83E-5
0.201,1.041,-2.229E-4,
0.201,,,1.82E-5
0.201,1.040,-2.559E-4,
0.201,,,1.80E-5
0.202,1.040,-3.719E-4,
0.202,,,1.79E-5
0.202,1.040,-3.560E-4,
0.202,,,1.77E-5
0.203,1.041,-2.791E-4,
0.203,,,1.75E-5
0.203,1.041,-3.218E-4,
0.203,,,1.74E-5
0.204,1.040,-1.619E-4,
0.204,,,1.74E-5
0.204,1.040,-1.326E-4,
0.204,,,1.73E-5
0.205,1.041,8.591E-5,
0.205,,,1.73E-5
0.205,1.040,-3.450E-4,
0.205,,,1.72E-5
0.206,1.040,1.677E-4,
0.206,,,1.73E-5
0.206,1.040,2.366E-5,
0.206,,,1.73E-5
0.207,1.041,1.787E-4,
0.207,,,1.74E-5
0.207,1.039,2.507E-4,
0.207,,,1.75E-5
0.208,1.040,1.103E-4,
0.208,,,1.76E-5
0.208,1.041,3.325E-4,
0.208,,,1.78E-5
0.208,1.039,3.886E-4,
0.209,,,1.80E-5
0.209,1.040,3.496E-4,
0.209,,,1.81E-5
0.210,1.041,2.080E-4,
0.210,,,1.83E-5
0.210,1.040,3.935E-4,
0.210,,,1.85E-5
0.210,1.039,5.193E-4,
0.211,,,1.88E-5
0.211,1.040,4.302E-4,
0.211,,,1.89E-5
0.212,1.039,2.727E-4,
0.212,,,1.91E-5
0.212,1.039,3.618E-4,
0.212,,,1.92E-5
0.212,1.040,4.563E-5,
0.213,,,1.93E-5
0.213,1.039,2.678E-4,
0.213,,,1.94E-5
0.214,1.040,2.568E-4,
0.214,,,1.95E-5
0.214,1.040,2.470E-4,
0.214,,,1.95E-5
0.214,1.041,-3.010E-4,
0.215,,,1.95E-5
0.215,1.040,4.685E-5,
0.215,,,1.95E-5
0.216,1.039,-2.883E-5,
0.216,,,1.93E-5
0.216,1.040,-6.245E-4,
0.216,,,1.90E-5
0.216,1.039,-3.950E-4,
0.217,,,1.89E-5
0.217,1.041,-2.644E-4,
0.217,,,1.88E-5
0.218,1.041,-3.127E-5,
0.218,,,1.88E-5
0.218,1.040,-1.570E-4,
0.218,,,1.86E-5
0.218,1.040,-2.705E-4,
0.219,,,1.85E-5
0.219,1.040,-4.134E-4,
0.219,,,1.83E-5
0.220,1.040,-8.987E-5,
0.220,,,1.83E-5
0.220,1.041,-2.119E-4,
0.220,,,1.82E-5
0.220,1.040,7.126E-5,
0.221,,,1.82E-5
0.221,1.040,-1.375E-4,
0.221,,,1.82E-5
0.222,1.040,1.689E-4,
0.222,,,1.83E-5
0.222,1.039,6.882E-5,
0.222,,,1.84E-5
0.222,1.040,3.020E-4,
0.223,,,1.86E-5
0.223,1.040,4.118E-4,
0.223,,,1.87E-5
0.224,1.040,3.313E-4,
0.224,,,1.88E-5
0.224,1.040,-2.669E-4,
0.224,,,1.88E-5
0.225,1.040,6.145E-4,
0.225,,,1.91E-5
0.225,1.040,2.446E-4,
0.225,,,1.93E-5
0.226,1.040,5.815E-4,
0.226,,,1.95E-5
0.226,1.040,3.154E-4,
0.226,,,1.96E-5
0.227,1.040,3.044E-4,
0.227,,,1.99E-5
0.227,1.040,5.083E-4,
0.227,,,2.01E-5
0.228,1.039,3.777E-4,
0.228,,,2.03E-5
0.228,1.040,3.496E-4,
0.228,,,2.04E-5
0.229,1.040,3.142E-4,
0.229,,,2.05E-5
0.229,1.039,-2.883E-5,
0.229,,,2.05E-5
0.230,1.039,-8.987E-5,
0.230,,,2.05E-5
0.230,1.040,1.360E-4,
0.230,,,2.06E-5
0.231,1.040,2.690E-4,
0.231,,,2.06E-5
0.231,1.039,7.788E-6,
0.231,,,2.06E-5
0.232,1.040,-1.509E-4,
0.232,,,2.06E-5
0.232,1.040,-1.907E-5,
0.232,,,2.06E-5
0.233,1.039,2.495E-4,
0.233,,,2.07E-5
0.233,1.040,1.755E-5,
0.233,,,2.06E-5
0.234,1.039,-2.705E-4,
0.234,,,2.05E-5
0.234,1.040,-3.816E-4,
0.234,,,2.03E-5
0.235,1.041,-1.717E-4,
0.235,,,2.02E-5
0.235,1.040,-1.961E-4,
0.235,,,2.01E-5
